Sample	Classifier_Exit	Probe_Exit	Min_Exit	Decision_Maker
3426	3	3	3	same
3437	2	2	2	same
3439	1	1	1	same
3441	1	1	1	same
3469	2	4	2	classifier
3475	4	4	4	same
3480	2	2	2	same
3491	1	1	1	same
3492	2	3	2	classifier
3493	1	1	1	same
3497	1	1	1	same
3498	1	4	1	classifier
3504	3	3	3	same
3506	4	4	4	same
3508	1	1	1	same
3509	1	1	1	same
3512	2	2	2	same
3517	2	2	2	same
3519	3	3	3	same
3533	2	2	2	same
3535	4	4	4	same
3543	4	4	4	same
3545	2	2	2	same
3554	3	4	3	classifier
3559	3	3	3	same
3562	4	4	4	same
3567	4	3	3	probe
3569	4	4	4	same
3571	4	4	4	same
3578	3	4	3	classifier
3582	1	1	1	same
3590	1	1	1	same
3594	3	3	3	same
3625	1	1	1	same
3626	3	4	3	classifier
3635	2	1	1	probe
3642	2	1	1	probe
3647	4	2	2	probe
3657	4	4	4	same
3659	2	2	2	same
3666	1	1	1	same
3673	4	2	2	probe
3688	4	4	4	same
3690	4	4	4	same
3697	1	1	1	same
3703	3	1	1	probe
3722	1	2	1	classifier
3729	1	1	1	same
3735	2	2	2	same
3746	1	1	1	same
3758	1	1	1	same
3766	4	4	4	same
3767	2	3	2	classifier
3791	2	2	2	same
3796	4	2	2	probe
3799	1	1	1	same
3807	1	1	1	same
3810	1	1	1	same
3812	2	2	2	same
3814	1	1	1	same
3817	4	3	3	probe
3820	3	2	2	probe
3824	1	1	1	same
3829	4	4	4	same
3836	2	3	2	classifier
3846	2	4	2	classifier
3847	3	3	3	same
3848	1	1	1	same
3852	4	4	4	same
3858	4	3	3	probe
3860	3	3	3	same
3876	2	4	2	classifier
3879	4	4	4	same
3886	4	2	2	probe
3887	1	1	1	same
3897	1	1	1	same
3904	2	2	2	same
3914	1	1	1	same
3933	1	1	1	same
3934	1	1	1	same
3945	1	1	1	same
3946	4	4	4	same
3952	4	4	4	same
3963	2	2	2	same
3974	2	4	2	classifier
3985	3	3	3	same
3996	2	2	2	same
4006	3	3	3	same
4018	4	4	4	same
4020	4	4	4	same
4026	2	3	2	classifier
4029	4	4	4	same
4035	1	1	1	same
4036	2	2	2	same
4051	4	3	3	probe
4053	3	3	3	same
4058	2	2	2	same
4062	1	1	1	same
4065	1	1	1	same
4069	3	2	2	probe
4085	2	2	2	same
4086	4	1	1	probe
4089	2	2	2	same
4101	2	2	2	same
4110	2	4	2	classifier
4111	4	4	4	same
4120	4	4	4	same
4123	1	1	1	same
4131	2	1	1	probe
4135	2	2	2	same
4139	2	2	2	same
4141	1	1	1	same
4145	4	4	4	same
4152	4	1	1	probe
4154	4	4	4	same
4159	1	1	1	same
4165	3	3	3	same
4175	1	1	1	same
4176	4	3	3	probe
4177	1	1	1	same
4179	4	4	4	same
4185	1	1	1	same
4195	4	4	4	same
4197	1	1	1	same
4198	4	4	4	same
4199	3	3	3	same
4203	2	2	2	same
4204	1	2	1	classifier
4215	2	2	2	same
4220	3	4	3	classifier
4223	4	4	4	same
4236	4	4	4	same
4240	4	4	4	same
4252	2	2	2	same
4254	1	1	1	same
4263	2	2	2	same
4271	1	1	1	same
4273	1	1	1	same
4275	1	4	1	classifier
4278	1	1	1	same
4284	1	1	1	same
4300	1	1	1	same
4304	2	4	2	classifier
4312	3	1	1	probe
4318	4	4	4	same
4328	1	1	1	same
4336	1	1	1	same
4341	4	2	2	probe
4346	2	1	1	probe
4349	4	4	4	same
4350	4	4	4	same
4351	1	1	1	same
4352	1	1	1	same
4355	2	2	2	same
4357	4	4	4	same
4359	4	4	4	same
4367	1	1	1	same
4379	2	2	2	same
4380	3	2	2	probe
4386	1	1	1	same
4395	4	2	2	probe
4397	2	2	2	same
4405	3	3	3	same
4406	1	1	1	same
4414	3	3	3	same
4426	2	2	2	same
4427	4	4	4	same
4448	4	2	2	probe
4452	2	4	2	classifier
4460	1	1	1	same
4464	1	1	1	same
4476	3	3	3	same
4479	2	2	2	same
4490	4	4	4	same
4493	4	4	4	same
4497	2	4	2	classifier
4500	3	4	3	classifier
4510	4	2	2	probe
4519	1	1	1	same
4523	4	4	4	same
4525	4	4	4	same
4529	4	4	4	same
4544	1	1	1	same
4545	4	4	4	same
4546	4	4	4	same
4549	3	3	3	same
4559	4	2	2	probe
4574	3	2	2	probe
4576	4	4	4	same
4587	2	2	2	same
4601	4	4	4	same
4603	3	3	3	same
4614	3	4	3	classifier
4622	3	3	3	same
4634	3	3	3	same
4638	1	1	1	same
4649	4	4	4	same
4659	1	1	1	same
4660	4	4	4	same
4661	1	4	1	classifier
4662	1	1	1	same
4665	4	3	3	probe
4666	4	4	4	same
4667	4	4	4	same
4670	2	4	2	classifier
4676	4	1	1	probe
4678	2	2	2	same
4684	4	1	1	probe
4696	2	2	2	same
4704	4	4	4	same
4713	2	2	2	same
4718	2	2	2	same
4724	4	3	3	probe
4738	1	1	1	same
4748	4	1	1	probe
4749	1	1	1	same
4751	2	1	1	probe
4756	1	4	1	classifier
4757	4	1	1	probe
4761	3	3	3	same
4763	4	3	3	probe
4764	2	1	1	probe
4766	4	4	4	same
4769	4	4	4	same
4784	2	2	2	same
4787	3	3	3	same
4795	2	2	2	same
4797	1	3	1	classifier
4804	4	4	4	same
4805	4	3	3	probe
4808	4	4	4	same
4818	3	3	3	same
4823	2	1	1	probe
4826	1	1	1	same
4832	4	4	4	same
4839	2	2	2	same
4840	2	2	2	same
4842	4	4	4	same
4846	3	4	3	classifier
4850	4	4	4	same
4852	4	4	4	same
4853	4	4	4	same
4862	3	4	3	classifier
4865	3	3	3	same
4867	4	3	3	probe
4886	2	4	2	classifier
4889	3	1	1	probe
4893	2	3	2	classifier
4895	2	2	2	same
4905	3	3	3	same
4908	4	2	2	probe
4911	3	3	3	same
4912	4	4	4	same
4929	4	4	4	same
4937	1	1	1	same
4940	1	1	1	same
4942	3	3	3	same
4943	4	3	3	probe
4972	2	3	2	classifier
4973	4	4	4	same
4974	4	4	4	same
4978	1	1	1	same
4984	4	4	4	same
4994	4	4	4	same
4996	4	4	4	same
5016	3	4	3	classifier
5020	1	1	1	same
5032	4	4	4	same
5038	2	2	2	same
5040	4	4	4	same
5043	1	1	1	same
5046	2	2	2	same
5054	4	4	4	same
5057	3	3	3	same
5077	4	4	4	same
5085	4	4	4	same
5086	2	1	1	probe
5094	3	2	2	probe
5095	3	3	3	same
5099	1	1	1	same
5105	3	3	3	same
5106	3	3	3	same
5108	4	4	4	same
5113	4	4	4	same
5128	4	4	4	same
5149	1	1	1	same
5160	4	4	4	same
5166	4	4	4	same
5168	1	1	1	same
5170	4	4	4	same
5181	4	3	3	probe
5195	3	3	3	same
5200	4	4	4	same
5226	1	1	1	same
5232	4	4	4	same
5252	3	4	3	classifier
5255	3	2	2	probe
5257	3	1	1	probe
5263	4	4	4	same
5265	4	4	4	same
5276	3	3	3	same
5282	1	1	1	same
5283	1	1	1	same
5284	3	1	1	probe
5285	4	4	4	same
5289	3	4	3	classifier
5290	4	2	2	probe
5293	1	3	1	classifier
5308	4	4	4	same
5312	2	3	2	classifier
5322	4	1	1	probe
5324	2	2	2	same
5328	4	4	4	same
5337	4	4	4	same
5361	4	4	4	same
5363	4	4	4	same
5366	1	4	1	classifier
5369	1	1	1	same
5391	4	3	3	probe
5392	4	3	3	probe
5401	2	2	2	same
5409	1	1	1	same
5412	2	2	2	same
5422	1	1	1	same
5424	4	2	2	probe
5442	1	1	1	same
5444	1	1	1	same
5446	4	4	4	same
5451	4	4	4	same
5462	1	1	1	same
5465	4	4	4	same
5475	1	1	1	same
5478	3	3	3	same
5485	4	4	4	same
5489	4	4	4	same
5497	4	4	4	same
5498	4	4	4	same
5503	4	4	4	same
5506	4	4	4	same
5512	4	4	4	same
5513	3	4	3	classifier
5521	1	1	1	same
5534	3	3	3	same
5542	2	2	2	same
5545	2	2	2	same
5552	2	2	2	same
5553	1	1	1	same
5560	2	1	1	probe
5564	1	1	1	same
5589	1	1	1	same
5620	2	2	2	same
5631	2	2	2	same
5638	4	4	4	same
5639	2	2	2	same
5642	1	1	1	same
5648	2	1	1	probe
5653	4	4	4	same
5662	3	3	3	same
5674	4	4	4	same
5681	1	2	1	classifier
5687	2	2	2	same
5700	3	3	3	same
5709	4	4	4	same
5710	2	2	2	same
5712	4	4	4	same
5718	4	3	3	probe
5720	3	3	3	same
5725	1	1	1	same
5735	3	3	3	same
5739	3	3	3	same
5740	1	1	1	same
5751	3	1	1	probe
5764	1	1	1	same
5777	4	4	4	same
5786	4	4	4	same
5805	1	1	1	same
5823	4	4	4	same
5831	4	4	4	same
5835	1	1	1	same
5838	4	3	3	probe
5848	1	1	1	same
5851	4	4	4	same
5852	1	4	1	classifier
5856	1	2	1	classifier
5859	3	3	3	same
5864	1	1	1	same
5871	4	4	4	same
5873	3	3	3	same
5881	1	1	1	same
5882	2	1	1	probe
5892	1	1	1	same
5906	1	1	1	same
5916	2	2	2	same
5933	3	3	3	same
5946	2	2	2	same
5947	2	2	2	same
5950	4	4	4	same
5954	1	1	1	same
5955	2	2	2	same
5959	1	1	1	same
5960	4	4	4	same
5961	1	1	1	same
5962	1	1	1	same
5966	3	3	3	same
5980	2	2	2	same
5981	3	3	3	same
5982	3	1	1	probe
5987	4	4	4	same
5999	2	2	2	same
6005	1	1	1	same
6010	4	4	4	same
6016	3	4	3	classifier
6019	3	2	2	probe
6021	4	4	4	same
6023	3	3	3	same
6024	1	1	1	same
6029	4	3	3	probe
6033	4	4	4	same
6040	3	2	2	probe
6048	2	2	2	same
6051	4	4	4	same
6052	1	1	1	same
6053	2	2	2	same
6054	4	4	4	same
6058	1	1	1	same
6061	3	3	3	same
6062	4	4	4	same
6067	4	3	3	probe
6082	3	3	3	same
6103	4	1	1	probe
6111	2	2	2	same
6118	3	2	2	probe
6121	3	2	2	probe
6128	4	4	4	same
6135	4	1	1	probe
6137	4	4	4	same
6138	1	1	1	same
6148	4	4	4	same
6150	3	3	3	same
6157	3	4	3	classifier
6169	4	4	4	same
6175	4	2	2	probe
6178	4	1	1	probe
6183	3	3	3	same
6185	4	3	3	probe
6186	2	2	2	same
6187	3	3	3	same
6189	4	4	4	same
6190	4	3	3	probe
6196	4	4	4	same
6204	4	1	1	probe
6205	4	3	3	probe
6209	4	2	2	probe
6213	1	4	1	classifier
6215	4	2	2	probe
6221	4	4	4	same
6227	4	3	3	probe
6230	4	2	2	probe
6236	2	2	2	same
6243	2	2	2	same
6244	2	2	2	same
6249	2	2	2	same
6255	2	2	2	same
6256	2	2	2	same
6266	3	3	3	same
6273	3	1	1	probe
6280	3	1	1	probe
6281	2	4	2	classifier
6284	3	3	3	same
6290	1	1	1	same
6292	2	1	1	probe
6298	1	1	1	same
6303	3	3	3	same
6313	2	2	2	same
6316	4	4	4	same
6318	4	4	4	same
6325	1	1	1	same
6341	1	1	1	same
6347	3	3	3	same
6348	4	4	4	same
6362	1	2	1	classifier
6365	2	2	2	same
6367	2	2	2	same
6368	1	1	1	same
6383	1	1	1	same
6389	4	4	4	same
6391	4	3	3	probe
6409	4	4	4	same
6423	4	4	4	same
6424	1	2	1	classifier
6437	2	3	2	classifier
6439	1	1	1	same
6455	1	2	1	classifier
6465	2	2	2	same
6472	2	2	2	same
6473	3	4	3	classifier
6480	4	4	4	same
6483	4	1	1	probe
6484	1	1	1	same
6486	4	4	4	same
6489	4	4	4	same
6494	3	3	3	same
6504	1	1	1	same
6510	2	2	2	same
6513	1	1	1	same
6515	4	2	2	probe
6519	1	1	1	same
6522	2	2	2	same
6525	2	2	2	same
6530	2	2	2	same
6534	2	2	2	same
6539	1	1	1	same
6544	1	1	1	same
6546	4	4	4	same
6552	4	4	4	same
6554	1	1	1	same
6557	1	1	1	same
6578	1	1	1	same
6580	4	4	4	same
6586	4	2	2	probe
6588	1	1	1	same
6600	4	4	4	same
6607	2	1	1	probe
6622	3	4	3	classifier
6623	1	1	1	same
6635	3	1	1	probe
6643	2	1	1	probe
6645	4	4	4	same
6646	1	1	1	same
6649	4	3	3	probe
6664	3	3	3	same
6667	1	1	1	same
6678	4	4	4	same
6679	4	4	4	same
6680	2	2	2	same
6681	2	2	2	same
6685	4	4	4	same
6695	1	3	1	classifier
6710	3	3	3	same
6711	4	4	4	same
6716	4	3	3	probe
6721	4	3	3	probe
6725	1	1	1	same
6726	3	4	3	classifier
6734	1	1	1	same
6735	4	4	4	same
6742	1	1	1	same
6745	1	1	1	same
6751	4	4	4	same
6756	3	3	3	same
6784	1	1	1	same
6786	1	1	1	same
6794	3	4	3	classifier
6799	1	1	1	same
6801	4	4	4	same
6803	2	2	2	same
6810	1	1	1	same
6818	2	2	2	same
6838	1	1	1	same
6841	2	2	2	same
6843	4	4	4	same
6846	1	1	1	same
6851	4	4	4	same
6853	4	2	2	probe
6855	2	1	1	probe
6856	4	4	4	same
6858	1	1	1	same
6871	3	2	2	probe
6872	2	4	2	classifier
6883	2	2	2	same
6891	4	4	4	same
6895	4	4	4	same
6897	1	1	1	same
6898	4	4	4	same
6907	1	1	1	same
6912	4	2	2	probe
6915	4	4	4	same
6921	1	1	1	same
6923	4	4	4	same
6927	1	1	1	same
6940	3	3	3	same
6945	2	2	2	same
6947	1	1	1	same
6958	4	4	4	same
6974	1	1	1	same
6981	4	2	2	probe
6983	1	1	1	same
6990	4	4	4	same
6992	1	2	1	classifier
6994	4	4	4	same
6996	4	4	4	same
6999	2	2	2	same
7002	4	4	4	same
7008	2	2	2	same
7020	2	2	2	same
7021	2	2	2	same
7029	2	1	1	probe
7035	4	3	3	probe
7037	4	4	4	same
7040	1	1	1	same
7046	1	1	1	same
7047	4	4	4	same
7053	4	4	4	same
7057	2	2	2	same
7059	2	2	2	same
7067	4	4	4	same
7084	4	4	4	same
7085	4	4	4	same
7090	2	4	2	classifier
7092	4	4	4	same
